resource_id,species_id,title,description,habitat,medicinal_use,conservation_status,interesting_fact,image_filename
EDU0001,SP0001,Getting to know House Sparrow,"An educational overview of House Sparrow (Passer domesticus), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,House Sparrow has been recorded by citizen scientists across multiple villages.,SP0001_Passer_domesticus.jpg
EDU0002,SP0002,Getting to know Common Myna,"An educational overview of Common Myna (Acridotheres tristis), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Endangered,Common Myna plays an important role in local ecosystem balance.,SP0002_Acridotheres_tristis.jpg
EDU0003,SP0003,Getting to know Indian Peafowl,"An educational overview of Indian Peafowl (Pavo cristatus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Near Threatened,Indian Peafowl has been recorded by citizen scientists across multiple villages.,SP0003_Pavo_cristatus.jpg
EDU0004,SP0004,Getting to know Rock Pigeon,"An educational overview of Rock Pigeon (Columba livia), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Rock Pigeon is most active during the Sep-Dec period.,SP0004_Columba_livia.jpg
EDU0005,SP0005,Getting to know Spotted Dove,"An educational overview of Spotted Dove (Spilopelia chinensis), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Vulnerable,Spotted Dove is most active during the Sep-Dec period.,SP0005_Spilopelia_chinensis.jpg
EDU0006,SP0006,Getting to know Laughing Dove,"An educational overview of Laughing Dove (Spilopelia senegalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Not Evaluated,Laughing Dove plays an important role in local ecosystem balance.,SP0006_Spilopelia_senegalensis.jpg
EDU0007,SP0007,Getting to know Black Kite,"An educational overview of Black Kite (Milvus migrans), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Vulnerable,Black Kite is most active during the Dec-Feb period.,SP0007_Milvus_migrans.jpg
EDU0008,SP0008,Getting to know Indian Pond Heron,"An educational overview of Indian Pond Heron (Ardeola grayii), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Indian Pond Heron is considered a good indicator of local habitat health.,SP0008_Ardeola_grayii.jpg
EDU0009,SP0009,Getting to know Cattle Egret,"An educational overview of Cattle Egret (Bubulcus ibis), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Cattle Egret is considered a good indicator of local habitat health.,SP0009_Bubulcus_ibis.jpg
EDU0010,SP0010,Getting to know Little Egret,"An educational overview of Little Egret (Egretta garzetta), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Little Egret is considered a good indicator of local habitat health.,SP0010_Egretta_garzetta.jpg
